date,gas price,oil price,coal price,carbon price
2014-01-24 00:00:00,66,107.88,79.42,6.89
2014-01-27 00:00:00,64.2,106.69,79.43,7.04
2014-01-28 00:00:00,63.75,107.41,79.29,7.2
2014-01-29 00:00:00,63.2,107.85,78.52,7.21
2014-01-30 00:00:00,62.6,107.95,78.18,7.46
2014-01-31 00:00:00,61.5,106.4,77.46,7.23
2014-02-03 00:00:00,60.6,106.04,79.54,7.65
2014-02-04 00:00:00,60.55,105.78,79.44,7.65
2014-02-05 00:00:00,61,106.25,79.55,7.98
2014-02-06 00:00:00,61.25,107.19,79.59,8.48
2014-02-07 00:00:00,60.6,109.57,79.31,8.46
2014-02-10 00:00:00,60.6,108.63,78.53,8.42
2014-02-11 00:00:00,61.2,108.68,78.31,8.24
2014-02-12 00:00:00,61.7,108.79,77.96,8.36
2014-02-13 00:00:00,59.65,108.73,78.16,8.4
2014-02-14 00:00:00,58.8,109.08,78.55,8.61
2014-02-17 00:00:00,58.7,109.18,78.41,8.89
2014-02-18 00:00:00,58.9,110.46,78.19,8.81
2014-02-19 00:00:00,58.2,110.47,77.6,9.31
2014-02-20 00:00:00,58.2,110.3,77.53,9.39
2014-02-21 00:00:00,57.45,109.85,77.43,9.57
2014-02-24 00:00:00,56,110.64,76.64,9.41
2014-02-25 00:00:00,56.2,109.51,76.55,8.47
2014-02-26 00:00:00,56,109.52,75.96,8.79
2014-02-27 00:00:00,56.9,108.96,76.65,8.82
2014-02-28 00:00:00,56.65,109.07,76.84,9.63
2014-03-03 00:00:00,61.3,111.2,77.64,9.12
2014-03-04 00:00:00,59.2,109.3,77.2,9.33
2014-03-05 00:00:00,57.95,107.76,76.66,9.27
2014-03-06 00:00:00,59,108.1,76.58,9.28
2014-03-07 00:00:00,58.8,109,76.86,9.38
2014-03-10 00:00:00,58.4,108.08,76.21,9.37
2014-03-11 00:00:00,57.8,108.55,76.68,9.27
2014-03-12 00:00:00,58.85,108.02,76.85,8.9
2014-03-13 00:00:00,58.7,107.39,77.14,8.81
2014-03-14 00:00:00,57.5,108.57,77.7,8.62
2014-03-17 00:00:00,58.5,106.24,77.95,8.04
2014-03-18 00:00:00,58,106.79,77.69,7.91
2014-03-19 00:00:00,57.1,105.85,77.64,8.18
2014-03-20 00:00:00,55.75,106.45,77.39,8.2
2014-03-21 00:00:00,54.25,106.92,77.86,8.39
2014-03-24 00:00:00,54.95,106.81,77.4,8.05
2014-03-25 00:00:00,55.75,106.99,76.83,8.07
2014-03-26 00:00:00,55.75,107.03,76.48,7.97
2014-03-27 00:00:00,55.6,107.83,76.61,7.2
2014-03-28 00:00:00,53.75,108.07,76.75,6.05
2014-03-31 00:00:00,50.5,107.76,76.93,6.32
2014-04-01 00:00:00,50.75,105.62,76.75,6.77
2014-04-02 00:00:00,48.15,104.79,76.59,6.48
2014-04-03 00:00:00,48.7,106.15,76.59,6.49
2014-04-04 00:00:00,48.15,106.72,76.44,6.25
2014-04-07 00:00:00,51.2,105.82,77.04,6.59
2014-04-08 00:00:00,51,107.67,76.83,6.44
2014-04-09 00:00:00,51.4,107.98,77,6.53
2014-04-10 00:00:00,51,107.46,77.48,6.69
2014-04-11 00:00:00,52.05,107.33,77.63,6.91
2014-04-14 00:00:00,52.525,109.07,77.83,6.78
2014-04-15 00:00:00,52.5,108.74,78.09,7.14
2014-04-16 00:00:00,51.15,109.6,78.53,7.05
2014-04-17 00:00:00,50.7,109.53,78.1,7.16
2014-04-18 00:00:00,50.7,109.53,78.1,7.16
2014-04-21 00:00:00,50.7,109.95,78.1,7.16
2014-04-22 00:00:00,50.4,109.27,77.84,7.31
2014-04-23 00:00:00,48.5,109.11,77.83,7.3
2014-04-24 00:00:00,49.2,110.33,78.29,7.38
2014-04-25 00:00:00,49.7,109.58,78.65,6.65
2014-04-28 00:00:00,48.95,108.12,78.9,6.77
2014-04-29 00:00:00,48,108.98,78.74,7.04
2014-04-30 00:00:00,46.6,108.07,78.34,7.04
2014-05-01 00:00:00,46.45,107.76,78.15,7.04
2014-05-02 00:00:00,47.5,108.59,78.58,6.78
2014-05-05 00:00:00,47.5,107.72,78.58,6.8
2014-05-06 00:00:00,46.5,107.06,78.79,6.8
2014-05-07 00:00:00,44.95,108.13,78.11,6.69
2014-05-08 00:00:00,47.35,108.04,78.09,6.7
2014-05-09 00:00:00,46.8,107.89,78.14,6.82
2014-05-12 00:00:00,46.7,108.41,78.34,6.91
2014-05-13 00:00:00,47.25,109.24,78.54,6.89
2014-05-14 00:00:00,46.4,110.19,78.63,6.67
2014-05-15 00:00:00,45.2,110.44,78.56,6.25
2014-05-16 00:00:00,44.35,109.75,78.55,6.28
2014-05-19 00:00:00,45.2,109.37,78.34,6.16
2014-05-20 00:00:00,45.75,109.69,78.19,6.32
2014-05-21 00:00:00,45.35,110.55,78.26,6.66
2014-05-22 00:00:00,45.8,110.36,78.45,6.73
2014-05-23 00:00:00,45.6,110.54,78.46,6.65
